Ulasan,Translated_Ulasan
pelayanan cepat dan kualitas bagus,fast service and good quality
performa bagus garansi lama tahun semoga awet,"Good performance, long warranty, hopefully it will last"
semuanya memuaskan recommended sekali,"everything is satisfactory, highly recommended"
perfect barangnya sudah sampai dengan cepat dan tanpa kekurangan apapun terima kasih msi,"perfect, the item arrived quickly and without any defects, thank you MSI"
ya makasih,Yes thanks
ok tidak ada kerusakan,"OK, no damage"
blm ditest semoga normal,"Haven't tested yet, hopefully it's normal"
barang dikemas dengan rapi sampai dengan aman dan monitor berfungsi dengan sangat baik sellernya juga ramah,The goods were packaged neatly and arrived safely and the monitor functions very well. The seller is also friendly
bagus mantap keren fast respon recomended seller,"good, cool, fast response, recommended seller"
barang sudah sampai dengan selamat,the goods have arrived safely
barang sesuai pesanan admin responsif kualitas barang bagus top pokoknya,"goods according to admin's order, responsive, quality of goods, top of the line"
produk sudah diterima dengan baik dapat dipasang dan berfungsi sesuai harapan,The product has been well received and can be installed and works as expected
mantap,solid
terbaik msi,MSI's best
ssd nya works di msi modern mantap speednya,"The SSD works on the MSI Modern, the speed is great"
pengirimannya lama banget untuk pemesan send instan gak rekomend beli disini pesen jam pagi baru sampe rumah jam malem orderan baru di proses jam malam,"The delivery took a really long time to order Gosend Instant, I don't recommend buying here, ordered in the morning and arrived home at midnight, the order was only processed at night"
belum dicoba tapi semoga berfungsi dengan baik,Haven't tried it yet but hopefully it works well
mantqp,mantqp
mh hardcore fans couldnt happier pas produk kolab ini di announced krn emg kebetulan lg mau ganti pc juga produknya kece bgt makasih admin yang udh sabar laden,"MH hardcore fans couldn't be happier when this collab product was announced because I just happened to want to replace my PC and the product is really cool, thank you admin for being patient laden"
barang sudah datang sesuai deskripsi admin respond cepat sabar menjawab pertanyaan pertanyaan recommend seller thanks msi,item arrived according to description admin responded quickly and patiently answered questions recommend seller thanks msi
monitor sampai dirumah dengan selamat semoga awet,"The monitor arrived home safely, hopefully it will last"
mantapppss barangnya sesuai deskripsi,"great, the item matches the description"
barang sampai dan berfungsi demgan baik,Item arrived and works well
mantab cepet betulbarang jg sesuai pesanan,"great, fast, the item is exactly as ordered"
paling bagus,the best
keren,keren
packaging rapih bgt vga berfungsi dengan baik sayang pengiriman lama jd cancel acara lain karena nunggu vga sampe padahal sudab di wanti dr semalem sebelumnya,"The packaging is really neat, the VGA works well, unfortunately the delivery took a long time, so I canceled another event because I was waiting for the VGA to arrive even though I had already asked for it the night before."
thanks,thanks
best value headset,best value headset
mantap gercep bagus layanan prima barang sesuai,"great fast, good service, excellent goods, appropriate items"
cepat dan sesuai tanpa extra setting apa dengan kabel displayport bawaan bisa hz,fast and suitable without extra settings or with the default displayport cable it can be hz
sesuai deskripsi berfungsi dengan baik,"as described, works well"
sudah sebulan berlalu alhamdulillah sejauh ini tidak ada kendala sangat terbantu dengan adanya baut dalam paket pembelian karena baut bekas psu yang lama sudah tidak bis,"It's been a month, thank God, so far there haven't been any problems. It's really helped by the bolts in the purchase package because the bolts used by the old PSU are no longer working."
pelayanan mantab barang oke sesuai terima kasih,"Great service, okay item, thank you"
pelayanan mantab,great service
respon baik kualitas baik puas dengan pelayanannya,"good response, good quality, satisfied with the service"
contrast ratio ngk kaya oled tapi jauh lebih bagus daripada panelpanel ips,The contrast ratio is not as rich as OLED but much better than IPS panels
barang nyampe dalam keadaan bagus meskipun packing nya ga pake kayu tapi dikasih bubble wrap tebal biar aman,goods arrived in good condition although the packing is not wood but given thick bubble wrap to be safe
seller fast response earcupnya lembut best value headset sound mantap nyaman dan praktis tinggal plug play,seller fast response earcups are soft best value headset great sound comfortable and practical just plug play
barang kualitas bagus pelayanan cepat pengiriman aman,"Good quality goods, fast service, safe delivery"
belum di pasang nunggu part yg lain dl edit lg besok setelah dipasang,"Haven't installed it yet, waiting for the other parts to be edited again tomorrow after installing it"
beli buat kado udah dikasih tapi belom di coba semoga aman aja yaa,buy for a gift already given but not tried hopefully safe aja yaa
barang bagus pelayanan baik sukses terus msi indonesia,"Good items, good service, continued success, MSI Indonesia"
nicely fit,nicely fit
garansi resmi admin fast respon barang bagus dan berkualitas,"Official admin guarantee fast response, good quality goods"
garansi resmi respon admin cepat barang bagus dan berkualitas,"Official guarantee, fast admin response, good quality goods"
good,good
saran aja sih jangan tunggu kurir yang jemput barang kalo seandainya barangnya banyak overall semuanya bagus pelayanan juga ramah,"Just a suggestion, don't wait for the courier to pick up the goods if there are a lot of goods. Overall everything is good and the service is friendly"
beli instan langsung pasang di lenovo legion seri mhh intel gtx ti walaupun ini ddr tapi masih bisa backward compatible ke slot ddr laptopnya pas sam,"buy instantly, install it directly on the Lenovo Legion MHH Intel GTX Ti series, even though it's DDR, it's still backward compatible with the laptop's DDR slot, just right."
kualitas bagusseller komunikatif dan fast responsepackaging tebal dan aman,"Good quality, communicative seller and fast response, thick and safe packaging"
bagus datang di kondisi brand new semua fitur berfungsi dengan baik,"Good, arrived in brand new condition, all features work well"
mouse enak dipakai button ada sayang nggak bisa di program,"The mouse is nice to use but the buttons are there, unfortunately they can't be programmed"
mantap bisa rotate jd potrait thanks semoga awet,steady can rotate so portrait thanks hopefully durable
barangnya bagus sesuai spek,the item is good according to specifications
barang sesuai sama tampilannya respon cepat cm dapat distrubor yg bukan biasanya mudahan servis centernya sama tinggal dicoba fungsinya sesuai deskripsi mudahan awet,"item matches its appearance, quick response cm, it got a non-standard distrubor, hopefully the service center is the same, just try it, the function is as described, hopefully it lasts"
mantab barang ok puji tuhan sampai dengan selamat dan aman jaya,"great item, thank God, it arrived safely and securely"
terbaik fast respon pengiriman cepat packing super duper rapi kualitas barang original pastinya recomender seller,"best, fast response, fast delivery, super duper neat packing, original quality goods, definitely recommended seller"
